entry_id,competition_id,year,competition_name,award_level,title,group,school_level,poster_url,thumb_url,poster_local,has_download_note,detail_url
4890_jiaoan,5,114,114年教案徵件,特優,嘿AI來講咱e故鄉事-鹽水溪數位故事共創計畫,國小,國小,https://eliteracy.edu.tw/Figures/poster/illus-2026-04-24-10-54-31.png,https://eliteracy.edu.tw/Figures/poster/thumb-2026-04-24-10-54-31.png,C:\Users\HSPS\Desktop\Claude Code\eliteracy\downloads\114\competition_5_jiaoan\4890_jiaoan_poster.jpg,False,https://eliteracy.edu.tw/Exhibition.aspx?id=4890
4890_jiaoan,5,114,114年教案徵件,優選,「練」愛方程式,國小,國小,https://eliteracy.edu.tw/Figures/poster/illus-2026-04-24-10-54-31.png,https://eliteracy.edu.tw/Figures/poster/thumb-2026-04-24-10-54-31.png,C:\Users\HSPS\Desktop\Claude Code\eliteracy\downloads\114\competition_5_jiaoan\4890_jiaoan_poster.jpg,False,https://eliteracy.edu.tw/Exhibition.aspx?id=4890
4890_jiaoan,5,114,114年教案徵件,優選,spaziy(五峰)AI奇旅：從原理到實作的思辨之路,國小,國小,https://eliteracy.edu.tw/Figures/poster/illus-2026-04-24-10-54-31.png,https://eliteracy.edu.tw/Figures/poster/thumb-2026-04-24-10-54-31.png,C:\Users\HSPS\Desktop\Claude Code\eliteracy\downloads\114\competition_5_jiaoan\4890_jiaoan_poster.jpg,False,https://eliteracy.edu.tw/Exhibition.aspx?id=4890
4890_jiaoan,5,114,114年教案徵件,優選,辨識與回應網路媒體中的微歧視語言-以原住民族刻板印象為例,國小,國小,https://eliteracy.edu.tw/Figures/poster/illus-2026-04-24-10-54-31.png,https://eliteracy.edu.tw/Figures/poster/thumb-2026-04-24-10-54-31.png,C:\Users\HSPS\Desktop\Claude Code\eliteracy\downloads\114\competition_5_jiaoan\4890_jiaoan_poster.jpg,False,https://eliteracy.edu.tw/Exhibition.aspx?id=4890
4890_jiaoan,5,114,114年教案徵件,佳作,Netiquette：以禮織網、網行有儀,國小,國小,https://eliteracy.edu.tw/Figures/poster/illus-2026-04-24-10-54-31.png,https://eliteracy.edu.tw/Figures/poster/thumb-2026-04-24-10-54-31.png,C:\Users\HSPS\Desktop\Claude Code\eliteracy\downloads\114\competition_5_jiaoan\4890_jiaoan_poster.jpg,False,https://eliteracy.edu.tw/Exhibition.aspx?id=4890
4890_jiaoan,5,114,114年教案徵件,佳作,打開數位的窗—在網路世界裡交朋友，也要有智慧,國小,國小,https://eliteracy.edu.tw/Figures/poster/illus-2026-04-24-10-54-31.png,https://eliteracy.edu.tw/Figures/poster/thumb-2026-04-24-10-54-31.png,C:\Users\HSPS\Desktop\Claude Code\eliteracy\downloads\114\competition_5_jiaoan\4890_jiaoan_poster.jpg,False,https://eliteracy.edu.tw/Exhibition.aspx?id=4890
4890_jiaoan,5,114,114年教案徵件,佳作,用藥風雲：你敢信，還是敢查？,國小,國小,https://eliteracy.edu.tw/Figures/poster/illus-2026-04-24-10-54-31.png,https://eliteracy.edu.tw/Figures/poster/thumb-2026-04-24-10-54-31.png,C:\Users\HSPS\Desktop\Claude Code\eliteracy\downloads\114\competition_5_jiaoan\4890_jiaoan_poster.jpg,False,https://eliteracy.edu.tw/Exhibition.aspx?id=4890
4890_jiaoan,5,114,114年教案徵件,佳作,速食資料的驗證實驗-氧氣的製造與檢驗,國小,國小,https://eliteracy.edu.tw/Figures/poster/illus-2026-04-24-10-54-31.png,https://eliteracy.edu.tw/Figures/poster/thumb-2026-04-24-10-54-31.png,C:\Users\HSPS\Desktop\Claude Code\eliteracy\downloads\114\competition_5_jiaoan\4890_jiaoan_poster.jpg,False,https://eliteracy.edu.tw/Exhibition.aspx?id=4890
4890_jiaoan,5,114,114年教案徵件,佳作,短影迷蹤：揭開迷因與短影音背後的真相,國小,國小,https://eliteracy.edu.tw/Figures/poster/illus-2026-04-24-10-54-31.png,https://eliteracy.edu.tw/Figures/poster/thumb-2026-04-24-10-54-31.png,C:\Users\HSPS\Desktop\Claude Code\eliteracy\downloads\114\competition_5_jiaoan\4890_jiaoan_poster.jpg,False,https://eliteracy.edu.tw/Exhibition.aspx?id=4890
4890_jiaoan,5,114,114年教案徵件,佳作,滑出陷阱：從限時套餐到偶像小帳，打造親師生共學的網路交易素養力,國小,國小,https://eliteracy.edu.tw/Figures/poster/illus-2026-04-24-10-54-31.png,https://eliteracy.edu.tw/Figures/poster/thumb-2026-04-24-10-54-31.png,C:\Users\HSPS\Desktop\Claude Code\eliteracy\downloads\114\competition_5_jiaoan\4890_jiaoan_poster.jpg,False,https://eliteracy.edu.tw/Exhibition.aspx?id=4890
